Time (s),Location - X (cm),Location - Y (cm)
0.00,0.00,0.00,
0.15,0.00,0.00,
0.30,2.00,1.00,
0.45,7.00,3.00,
0.61,11.00,4.00,
0.75,21.00,4.00,
0.90,32.00,4.00,
1.05,44.00,3.00,
1.20,58.00,2.00,
1.36,70.00,2.00,
1.51,83.00,2.00,
1.65,97.00,2.00,
1.81,110.00,2.00,
1.96,123.00,2.00,
2.11,136.00,3.00,
2.26,147.00,3.00,
2.41,139.00,3.00,
2.54,134.00,2.00,
2.70,131.00,0.00,
2.84,123.00,-2.00,
2.99,112.00,-6.00,
3.14,100.00,-9.00,
3.29,87.00,-11.00,
3.46,73.00,-12.00,
3.59,59.00,-13.00,
3.74,45.00,-13.00,
3.90,31.00,-13.00,
4.04,17.00,-13.00,
4.20,10.00,-12.00,
4.35,0.00,-10.00,
4.50,-4.00,-8.00,
4.65,-10.00,-6.00,
4.80,-13.00,-6.00,
4.95,-15.00,-7.00,
5.11,-13.00,-11.00,
5.25,-10.00,-15.00,
5.40,-9.00,-22.00,
5.55,-8.00,-31.00,
5.70,-7.00,-42.00,
5.85,-7.00,-55.00,
6.01,-7.00,-69.00,
6.15,-7.00,-84.00,
6.30,-7.00,-87.00,
6.45,-7.00,-82.00,
6.60,-7.00,-77.00,
6.75,-7.00,-68.00,
6.90,-7.00,-60.00,
7.05,-6.00,-58.00,
7.20,-6.00,-58.00,
7.35,-6.00,-65.00,
7.50,-7.00,-71.00,
7.65,-7.00,-59.00,
7.80,-7.00,-49.00,
7.95,-8.00,-40.00,
8.11,-8.00,-28.00,
8.26,-9.00,-20.00,
8.41,-6.00,-16.00,
8.56,-9.00,-3.00,
8.69,-12.00,5.00,
8.86,-8.00,10.00,
8.99,-1.00,14.00,
9.14,-2.00,9.00,
9.29,0.00,6.00,
9.44,-1.00,3.00,
9.59,-4.00,2.00,
9.76,-14.00,4.00,
9.91,-26.00,6.00,
10.06,-38.00,8.00,
10.21,-51.00,9.00,
10.36,-51.00,9.00,
10.51,-52.00,6.00,
10.68,-57.00,5.00,
10.81,-65.00,2.00,
10.96,-60.00,0.00,
11.11,-53.00,0.00,
11.25,-45.00,0.00,
11.42,-35.00,1.00,
11.57,-24.00,1.00,
11.72,-12.00,2.00,
11.87,0.00,2.00,
12.02,14.00,3.00,
12.17,27.00,3.00,
12.32,33.00,3.00,
12.47,39.00,-2.00,
12.62,43.00,-5.00,
12.77,42.00,-5.00,
12.92,35.00,-1.00,
13.07,30.00,1.00,
13.22,25.00,6.00,
13.39,23.00,16.00,
13.52,22.00,28.00,
13.66,23.00,42.00,
13.82,24.00,57.00,
13.97,24.00,73.00,
14.12,23.00,88.00,
14.27,23.00,99.00,
14.43,23.00,97.00,
14.56,22.00,92.00,
14.71,19.00,81.00,
14.86,19.00,72.00,
15.01,18.00,69.00,
15.16,13.00,61.00,
15.31,11.00,50.00,
15.46,11.00,46.00,
15.61,12.00,45.00,
15.76,13.00,47.00,
15.91,12.00,50.00,
16.08,12.00,40.00,
16.21,11.00,31.00,
16.36,12.00,30.00,
16.51,12.00,27.00,
16.66,12.00,23.00,
16.81,12.00,21.00,
16.96,12.00,19.00,